# IPv6 signatures file (dangerous and spammy ISPs).
# Canonical link to the online version of this file: https://github.com/CIDRAM/CIDRAM/blob/v3/vault/signatures/ipv6_isps.dat

# Version: 2024.125.0
# Last modified: 2024.05.05

# False positive risk (an approximate, rough estimate only):
# Standard usage (i.e., used with standard CIDRAM features, default bypasses, etc): « [ ]Low [x]Medium [ ]High »
#  Exported usage (i.e., used W/O standard CIDRAM features, default bypasses, etc): « [ ]Low [ ]Medium [x]High »


# ---
# ASNs 34665, 44050 ("Petersburg Internet Network ltd").
# Major domestic ISP from Russia, but also a significant, long-term source of
# spam, hack attempts, scraping, probing for vulnerabilities, and other kinds
# of unwanted traffic.
# Stop Forum Spam (SFS) listings: 822,131 (AS34665), 2 (AS44050).
# Updated: 2024.01.28

# ASN 3255 (State Enterprise Scientific and Telecommunication Centre "Ukrainian
# Academic and Research Network" of the Institute for Condensed Matter Physics
# of the National Academy of Science of Ukraine / UARNet).
# Listing just the affected ranges/addresses only.
# Stop Forum Spam (SFS) listings: 684.
# Updated: 2023.11.15

2a00:fc00:e000:98::/64 Deny Attacks
Origin: UA
Profile: Domestic ISP;Government
Tag: UARNet


# ASNs 18101, 55836 ("Reliance Communications Ltd").
# Indian domestic ISP. Brute-force, SSH, and webapp attacks, WordPress hack
# attempts, port scans, and spam detected from here. Listing just the affected
# ranges/addresses only.
# Stop Forum Spam (SFS) listings: 6 (AS18101), 60,272 (AS55836).
# Updated: 2024.03.28

2405:201:200c:9087::/64 Deny Spam
2405:201:200c:9906::/64 Deny Spam
2405:201:200c:9cfc::/64 Deny Spam
2405:201:200c:a0f0::/64 Deny Spam
2405:201:200c:f0dd::/64 Deny Spam
2405:201:201c:4964::/64 Deny Spam
2405:201:202e:b069::/64 Deny Spam
2405:201:5015:f80d::/64 Deny Spam
2405:201:5c01:60be::/64 Deny Spam
2405:201:5c01:6133::/64 Deny Spam
2405:201:5c01:613a::/64 Deny Spam
2405:201:5c01:618c::/64 Deny Spam
2405:201:5c01:6827::/64 Deny Spam
2405:201:5c01:6877::/64 Deny Spam
2405:201:5c01:6b76::/64 Deny Spam
2405:201:5c01:6de9::/64 Deny Spam
2405:201:5c09:210c::/64 Deny Spam
2405:201:5c0a:2153::/64 Deny Spam
2405:201:5c0c:a05d::/64 Deny Spam
2405:204:128c:b733::/64 Deny Spam
2405:204:3297:b85e::/64 Deny Spam
2409:4050:e41:8c61::/64 Deny Spam
2409:4050:2d95:ac23::/64 Deny Spam
2409:4050:2d9f:3462::/64 Deny Spam
2409:4050:2dc1:d75b::/64 Deny Spam
2409:4051:301:8662::/64 Deny Spam
2409:4053:2019:4854::/64 Deny Spam
2409:4088:be89:7296::/64 Deny Spam
2409:408d:1e82:10b::/64 Deny Spam
2409:40d6:4:95e8::/64 Deny Spam
2409:40d6:1f:5b51::/64 Deny Spam
2409:40d6:1001:3126::/64 Deny Spam
Origin: IN
Profile: Domestic ISP;Infrastructure/Transit
Tag: Reliance Communications


# ASN 198093 ("Foreningen for digitala fri- och rattigheter").
# Dangerous tor network with dead homepage. HUGE levels of brute-force and SSH
# attacks, hacking, port scans, and spam detected from here!
# Stop Forum Spam (SFS) listings: 5,945.
# Updated: 2022.02.26 / Checked: 2023.12.26

2001:67c:16b0::/48 Deny Attacks
2001:67c:289c::/48 Deny Attacks
Origin: SE
Profile: Restricted/Unidentifiable;Tor endpoints here
Tag: Foreningen


# ASN 8708 ("RCS & RDS SA").
# Romanian domestic ISP. Brute-force, DDoS, XMLRPC, and webapp attacks, port
# scans, hacking, and spam detected from here.
# Listing just the affected ranges/addresses only.
# Stop Forum Spam (SFS) listings: 1,375.
# Updated: 2023.07.24

2a02:2f01:7014:1900::/64 Deny Spam
2a02:2f04:40c:8400::/64 Deny Spam
2a02:2f05:850c:3a00::/64 Deny Spam
2a02:2f0a:1308:3c00::/64 Deny Spam
2a02:2f0d:a14:9f00::/64 Deny Spam
Origin: RO
Profile: Domestic ISP;Tor endpoints here
Tag: RCS & RDS SA


# ASN 8359 ("MTS PJSC").
# Caught trying to hack WordPress sites, a significant amount of other
# unsavoury behaviour detected, and a significant source of spam.
# Stop Forum Spam (SFS) listings: 2,004.
# Updated: 2023.07.29

2a00:f00::/32 Deny Spam
2a00:13fa::/36 Deny Spam
2a00:13fb::/36 Deny Spam
2a00:13fd::/36 Deny Spam
2a00:1898::/36 Deny Spam
2a00:1899::/36 Deny Spam
2a00:189c::/32 Deny Spam
2a00:189e::/36 Deny Spam
2a00:189f::/36 Deny Spam
2a00:1fa0::/29 Deny Spam
2a00:1fc1::/36 Deny Spam
2a00:1fc2::/36 Deny Spam
2a00:8580::/40 Deny Spam
2a01:8046::/36 Deny Spam
2a02:28::/29 Deny Spam
2a02:3f8:7::/48 Deny Spam
2a02:5f80::/36 Deny Spam
2a02:5f82::/36 Deny Spam
2a02:5f85::/36 Deny Spam
2a02:5f87::/36 Deny Spam
2a03:6502::/36 Deny Spam
2a03:6503::/36 Deny Spam
2a03:6504::/36 Deny Spam
2a03:6506::/36 Deny Spam
2a03:7202::/36 Deny Spam
2a03:db01::/36 Deny Spam
2a03:db02::/36 Deny Spam
2a03:db04::/36 Deny Spam
2a03:db05::/36 Deny Spam
Origin: RU
Profile: Domestic ISP;Mobile ISP;Infrastructure/Transit;Multiplay
Tag: MTS PJSC


# ASN 25513 ("PJSC Moscow city telephone network").
# Russian domestic ISP and a significant source of forum and blog spam.
# Stop Forum Spam (SFS) listings: 1,816.
# Updated: 2022.09.27 / Checked: 2023.09.15

2a00:1370::/32 Deny Spam
2a03:af60::/32 Deny Spam
Origin: RU
Profile: Domestic ISP
Tag: PJSC Moscow city


# ASNs 7725, 7922, 33661, 33668 ("Comcast Cable Communications, LLC").
# Major domestic ISP in the United States; Should NEVER be blocked in entirety.
# Listed here are some specific CIDRs/IPs on their network that pose a major
# spam risk and/or are known sources of spam and/or other undesirable traffic.
# Mozi botnet detected from here.
# Stop Forum Spam (SFS) listings: 2 (AS7015), 6,734 (AS7922).
# Updated: 2024.02.04

2601:18c:500:1060::/64 Deny Spam
2601:647:667f:dc40::/64 Deny Spam
2601:980:4200:3d7::/64 Deny Spam
2601:985:4280:3080::/64 Deny Spam
2603:3001:1cd2:8100::/64 Deny Spam
2603:3021:3308:1600::/64 Deny Spam
Origin: US
Profile: Domestic ISP
Tag: Comcast Spam IPs


# ASN 22773 ("Cox Communications Inc").
# Peering exchange provider in the United States. Spamming, scraping,
# brute-force and SSH attacks, hack attempts, and other unwanted traffic
# detected from here. Listing just the affected ranges/addresses only.
# Stop Forum Spam (SFS) listings: 2,407.
# Updated: 2023.08.27

2600:8800:b0a:fd00::/64 Deny Spam
2600:8800:2a0c:f800::/64 Deny Spam
2600:8802:2400:b0::/64 Deny Spam
2600:8807:c147:6f00::/64 Deny Spam
Origin: US
Profile: Domestic ISP;Infrastructure/Transit;Multiplay;Tor endpoints here;University;Webhosting
Tag: Cox Spam IPs


# ASNs 7843, 10796, 11351, 11426, 11427, 12271, 20001, 20115, 33363 ("Charter
# Communications"). US domestic ISP. Honeypot probes, port scans, and spam
# detected from here. Listing just the affected ranges/addresses only.
# Stop Forum Spam (SFS) listings: 12 (AS7843), 1,060 (AS10796), 564 (AS11351),
# 704 (AS11426), 756 (AS11427), 259 (AS12271), 1,182 (AS20001),
# 1,890 (AS20115), 837 (AS33363).
# Updated: 2023.09.12

2600:6c40:44f0:8870::/64 Deny Spam
2600:6c52:44f0:880::/64 Deny Spam
2600:6c58:67f:8b6a::/64 Deny Spam
2600:6c5e:513f:efa3::/64 Deny Spam
2600:6c5e:5b3f:2192::/64 Deny Spam
2603:6000:a740:b846::/64 Deny Spam
2603:6010:2600:ad1c::/64 Deny Spam
2603:6010:2b00:7ab::/64 Deny Spam
2603:6011:7c02:fd0a::/64 Deny Spam
2603:6012:9a40:5::/64 Deny Spam
2603:6080:5f06:f1d0::/64 Deny Spam
2603:6081:6300:66f8::/64 Deny Spam
2603:7000:1403:afee::/64 Deny Spam
2603:7000:5f05:dc5e::/64 Deny Spam
2603:7000:6c3b:4ec7::/64 Deny Spam
2603:7000:8f00:d74::/64 Deny Spam
2603:8000:9300:4763::/64 Deny Spam
2603:8001:2e01:560e::/64 Deny Spam
2603:8081:2301:3e0c::/64 Deny Spam
2603:8081:2407:197c::/64 Deny Spam
2603:9001:1306:a3::/64 Deny Spam
Origin: US
Profile: Domestic ISP;University
Tag: Charter Communications


# ASNs 18209, 24309, 55577, 131269 ("Atria Convergence Technologies Pvt. Ltd.
# Broadband Internet Service Provider INDIA", "ACTFIBERNET Pvt Ltd").
# Indian domestic ISP. Brute-force, SSH, FTP, SQLi, and webapp attacks, port
# scans, hacking, and spam detected from here.
# Listing just the affected ranges/addresses only.
# Stop Forum Spam (SFS) listings: 15,656 (AS18209), 3,679 (AS24309),
# 1,192 (AS55577), 555 (AS131269).
# Updated: 2023.07.05

2406:7400:3b:a745::/64 Deny Spam
2406:7400:51:57fd::/64 Deny Spam
2406:7400:56:a6b5::/64 Deny Spam
2406:7400:56:dad8::/64 Deny Spam
2406:7400:bb:f2f5::/64 Deny Spam
2406:7400:bb:f487::/64 Deny Spam
2406:b400:60:eff8::/64 Deny Spam
2406:b400:66:25e::/64 Deny Spam
2406:b400:66:22e3::/64 Deny Spam
2406:b400:b1:79e6::/64 Deny Spam
2406:b400:b4:e46::/64 Deny Spam
2406:b400:b4:a523::/64 Deny Spam
2406:b400:b4:c51c::/64 Deny Spam
2406:b400:d1:1b8a::/64 Deny Spam
2406:b400:d1:3311::/64 Deny Spam
2406:b400:d1:7df8::/64 Deny Spam
2406:b400:d5:5e08::/64 Deny Spam
2406:b400:d5:93dd::/64 Deny Spam
2406:b400:d5:f4bc::/64 Deny Spam
Origin: IN
Profile: Domestic ISP
Tag: Atria Convergence


# ASN 6830 ("Liberty Global B.V").
# European international 5G and fibre provider. Brute-force, WordPress, and
# webapp attacks, port scans, email harvestors, and spam detected from here.
# Listing just the affected ranges/addresses only.
# Stop Forum Spam (SFS) listings: 945.
# Updated: 2023.09.07

2a02:8084:4262:d180::/64 Deny Spam
Origin: IE
2a02:a310:8345:cd00::/64 Deny Spam
2a02:a311:a23d:8800::/64 Deny Spam
2a02:a311:c43f:bd00::/64 Deny Spam
2a02:a317:2348:8180::/64 Deny Spam
2a02:a318:a03a:8c00::/64 Deny Spam
2a02:a318:a03e:3a00::/64 Deny Spam
2a02:a31a:a33c:d880::/64 Deny Spam
2a02:a31a:e142:a80::/64 Deny Spam
2a02:a31a:e145:ae00::/64 Deny Spam
Origin: PL
Profile: Domestic ISP;Infrastructure/Transit;Multiplay;Tor endpoints here
Tag: Liberty Global


# ASN 1221 ("Telstra Corporation Ltd").
# Australia's largest domestic ISP. Brute-force, SSH, and telnet attacks, port
# scans, hacking, and spam detected from here.
# Listing just the affected ranges/addresses only.
# Stop Forum Spam (SFS) listings: 752.
# Updated: 2024.01.11

2001:8003:270b:6801::/64 Deny Spam
2001:8003:3020:1601::/64 Deny Spam
2001:8003:5dce:3a00::/64 Deny Spam
Origin: AU
Profile: Domestic ISP;Mobile ISP;Multiplay
Tag: Telstra Corporation


# ASN 5607 ("Sky UK Limited").
# UK domestic ISP / broadband provider. Spam and Mirai detected here.
# Listing just the affected ranges/addresses only.
# Stop Forum Spam (SFS) listings: 1,061.
# Updated: 2023.08.27

2a02:c7c:36e5:b000::/64 Deny Spam
2a02:c7c:708d:c400::/64 Deny Spam
2a02:c7c:cb4f:f600::/64 Deny Spam
2a02:c7e:a13:7a00::/64 Deny Spam
2a02:c7f:127c:da00::/64 Deny Spam
2a02:c7f:18e5:4900::/64 Deny Spam
2a02:c7f:2cd4:7100::/64 Deny Spam
2a02:c7f:5c35:dd00::/64 Deny Spam
Origin: GB
Profile: Domestic ISP
Tag: Sky UK Limited


# ASN 2856 ("British Telecommunications PLC").
# UK domestic ISP. Spam detected from here.
# Listing just the affected ranges/addresses only.
# Stop Forum Spam (SFS) listings: 2,426.
# Updated: 2024.05.05

2a00:23c5:5803:301::/64 Deny Spam
2a00:23c7:7c11:7e01::/64 Deny Spam
2a00:23c7:922f:c301::/64 Deny Spam
2a00:23c7:c601:aa01::/64 Deny Spam
2a00:23c7:c60c:bd01::/64 Deny Spam
2a00:23c8:f00:6c01::/64 Deny Spam
2a00:23c8:c10a:3201::/64 Deny Spam
2a00:23ee:17c0:191d::/64 Deny Spam
Origin: GB
Profile: Domestic ISP
Tag: British Telecom PLC


# ASN 7018 ("AT&T Services, Inc").
# Major US domestic ISP. DDoS, SQLi, brute-force and WordPress/XMLRPC attacks,
# credential stuffing, port scans, and spam detected from here.
# Listed just the affected ranges/addresses only.
# Stop Forum Spam (SFS) listings: 5,799.
# Updated: 2024.05.04

2600:1700:5c58:3a90::/64 Deny Spam
Origin: US
Profile: Domestic ISP;Tor endpoints here
Tag: AT&T Services, Inc


# ASN 21928 ("T-Mobile USA, Inc").
# US mobile provider. Spam, brute-force, and SSH attacks detected from here.
# Listing just the affected ranges/addresses only.
# Stop Forum Spam (SFS) listings: 3,430.
# Updated: 2023.12.01

2607:fb91:123:4c6::/64 Deny Spam
2607:fb91:14d4:164c::/64 Deny Spam
2607:fb91:79af:d65c::/64 Deny Spam
Origin: US
Profile: Domestic ISP;Mobile ISP;Multiplay
Tag: T-Mobile USA, Inc


# ASN 133480 ("Intergrid Group Pty Ltd").
# Australian multiplay network. Brute-force and webapp attacks, port scans,
# hacking, and spam detected from here.
# Listing just the offending ranges/addresses only.
# Stop Forum Spam (SFS) listings: 656.
# Updated: 2023.08.30

2400:fa80:5:4::/64 Deny Spam
Origin: AU
Profile: Domestic ISP;Multiplay
Tag: Intergrid Group Pty Ltd


# ASNs 16276, 35540 ("OVH Systems").
# French multiplay network. Mostly a cloud provider, server leaser, etc. Some
# limited ADSL connectivity also provided. A significant source of spam here,
# caught trying to hack honeypots, brute-force, SSH, and webapp attacks, and
# unauthorised WordPress vulnerability scanners detected from here.
# Stop Forum Spam (SFS) listings: 566,521 (AS16276), 14 (AS35540).
# Updated: 2021.01.27 / Checked: 2023.11.24

2607:5300::/32 Run bypasses.php
Origin: CA
2001:41d0::/32 Run bypasses.php
Origin: FR
2402:1f00::/32 Run bypasses.php
Origin: HK
2604:2dc0::/32 Run bypasses.php
Origin: US
Profile: Domestic ISP;Multiplay;Tor endpoints here
Tag: OVH Systems


# ASNs 45430, 133481 ("SBN-IIG/AWN-IIG transit provider", "AIS Fibre").
# Thai transit provider and domestic ISP. Brute-force, SSH, and
# WordPress/XMLRPC attacks, port scans, hacking, and spam detected from here.
# Listing just the affected ranges/addresses only.
# Stop Forum Spam (SFS) listings: 41,680 (AS45430), 10,633 (AS133481).
# Updated: 2023.08.07

2405:9800:b861:1f73::/64 Deny Spam
2405:9800:b930:f6e::/64 Deny Spam
2405:9800:b930:4440::/64 Deny Spam
2405:9800:b930:69a4::/64 Deny Spam
2405:9800:b930:6cd9::/64 Deny Spam
Origin: TH
Profile: Domestic ISP;Infrastructure/Transit;Multiplay
Tag: Phaholyothin Rd


# ASN 852 ("TELUS Communications Inc").
# Canadian domestic ISP. Brute-force, webapp attacks, port scans, and spam
# detected from here. Listing just the affected ranges/addresses only.
# Stop Forum Spam (SFS) listings: 754.
# Updated: 2023.08.06

2001:56a:79ae:2a00::/64 Deny Spam
Origin: CA
Profile: Domestic ISP
Tag: TELUS Communications Inc


# ASN 34757 ("Sibirskie Seti Ltd").
# Russian domestic ISP. A frequent source of hacking, brute-force, SSH, and
# webapp attacks. Listing whole ASN.
# Stop Forum Spam (SFS) listings: 27.
# Updated: 2021.02.20 / Checked: 2023.08.03

2a00:bfc0::/35 Deny Attacks
Origin: RU
Profile: Domestic ISP
Tag: Sibirskie Seti Ltd


# ASNs 3243, 15525, 42863 ("MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A").
# Portuguese domestic ISP. Caught by honeypots. Port scans and hack attempts
# detected from here. Listing just the affected ranges/addresses only.
# Stop Forum Spam (SFS) listings: 218 (AS3243), 21 (AS15525), 25 (AS42863).
# Updated: 2023.09.04

2001:8a0:6380:ad00::/64 Deny Spam
Origin: PT
Profile: Domestic ISP
Tag: MEO


# ASNs 45820, 134674 ("TATA SKY BROADBAND PRIVATE LIMITED").
# Indian domestic ISP. WordPress attacks, hacking, port scans, and spam
# detected from here. Listing just the affected ranges/addresses only.
# Stop Forum Spam (SFS) listings: 2,715 (AS45820), 761 (AS134674).
# Updated: 2023.08.05

2402:e280:2147:181::/64 Deny Spam
2402:e280:230c:72d::/64 Deny Spam
2402:e280:230e:114::/64 Deny Spam
2402:e280:2319:a2::/64 Deny Spam
2402:e280:2321:42f::/64 Deny Spam
2402:e280:3e15:3ac::/64 Deny Spam
2402:e280:4116:479::/64 Deny Spam
Origin: IN
Profile: Domestic ISP
Tag: TATA SKY BROADBAND PRIVATE LIMITED


# ASNs 3209, 31334 ("Vodafone Deutschland GmbH").
# German multiplay network. Brute-force and webapp attacks, hacking, and spam
# detected from here. Listing just the affected ranges/addresses only.
# Stop Forum Spam (SFS) listings: 1,358 (AS3209).
# Updated: 2023.09.28

2a02:8070:d281:f5e0::/64 Deny Spam
2a02:8071:2286:dac0::/64 Deny Spam
Origin: DE
Profile: Domestic ISP;Mobile ISP;Multiplay
Tag: Vodafone Deutschland GmbH


# ASNs 3215, 5511 ("Orange S.A").
# French domestic/mobile ISP. Listing just the affected ranges/addresses only.
# Stop Forum Spam (SFS) listings: 1,547 (AS3215), 5 (AS5511).
# Updated: 2024.01.28

2a01:cb05:f:f400::/64 Deny Spam
2a01:cb0c:70b:7b01::/64 Deny Spam
2a01:cb15:211:7800::/64 Deny Spam
2a01:cb19:8ef5:200::/64 Deny Spam
2a01:cb1d:a93:3b00::/64 Deny Spam
Origin: FR
Profile: Domestic ISP;Mobile ISP
Tag: Orange S.A


# ASN 5410 ("Bouygues Telecom SA").
# French domestic ISP and mobile provider. Spam and hack attempts detected from
# here. Listing just the affected ranges/addresses only.
# Stop Forum Spam (SFS) listings: 463.
# Updated: 2023.08.27

2a04:cec0:11ae:ba81::/64 Deny Spam
Origin: FR
Profile: Domestic ISP;Mobile ISP
Tag: Bouygues Telecom SA


# ASN 57712 ("NPF SOFTVIDEO Ltd").
# Russian domestic ISP. Relative to the size of the network, a *HUGE* amount of
# spam has been detected from here. Port scans, and webapp, brute-force, and
# SSH attacks also detected from here.
# Stop Forum Spam (SFS) listings: 1,467.
# Updated: 2023.10.29

2a13:8e40:1000::/36 Deny Spam
Origin: RU
Profile: Domestic ISP
Tag: NPF SOFTVIDEO Ltd


# ASN 9123 ("OOO TimeWeb").
# Russian multiplay network. Brute-force, XMLRPC/WordPress, and webapp attacks,
# hacking, port scans, and spam detected from here.
# Listing just the affected ranges/addresses only.
# Stop Forum Spam (SFS) listings: 1,128.
# Updated: 2023.06.15 / Checked: 2024.04.28

2a03:6f00::/32 Deny Attacks
Origin: RU
Profile: Domestic ISP;Infrastructure/Transit;Multiplay;Tor endpoints here;Webhosting
Tag: OOO TimeWeb


# ASN 264932 ("STAYNET SERVICOS DE INTERNET LTDA - ME").
# Brazilian domestic ISP. Port scans, hacking, and spam detected from here.
